tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1081,99.3,46,0.0845,5,15,26
2,1078,99.0,47,0.0937,5,15,27
3,1077,98.9,48,0.0983,5,15,28
4,1076,98.8,49,0.101,5,15,29
5,1075,98.7,50,0.1038,5,15,30
6,1073,98.5,52,0.1084,6,15,31
7,1072,98.4,53,0.112,6,15,32
8,1071,98.3,54,0.1148,6,15,33
9,1070,98.3,55,0.1175,6,15,34
10,1068,98.1,56,0.1203,6,15,35
11,1067,98.0,57,0.124,6,15,36
12,1066,97.9,58,0.1267,6,15,37
13,1064,97.7,59,0.1295,6,15,38
14,1063,97.6,60,0.1331,6,15,39
15,1061,97.4,61,0.1359,6,15,40
16,1060,97.3,62,0.1396,6,15,41
17,1058,97.2,63,0.1423,6,15,42
18,1056,97.0,64,0.146,6,15,43
19,1054,96.8,65,0.1497,6,15,44
20,1052,96.6,66,0.1534,6,15,45
21,1050,96.4,67,0.157,6,15,46
22,1048,96.2,68,0.1607,6,15,47
23,1046,96.1,69,0.1644,6,15,48
24,1044,95.9,70,0.168,6,15,49
25,1041,95.6,72,0.1736,6,16,50
26,1037,95.2,74,0.18,7,16,51
27,1032,94.8,76,0.1873,8,16,52
28,1027,94.3,77,0.1938,8,16,53
29,1023,93.9,78,0.2002,8,16,54
30,1019,93.6,79,0.2057,8,16,55
31,1015,93.2,80,0.2112,8,16,56
32,1011,92.8,81,0.2167,8,16,57
33,1006,92.4,82,0.2222,8,16,58
34,1001,91.9,83,0.2287,8,16,59
35,996,91.5,84,0.2351,8,16,60
36,991,91.0,85,0.2415,8,16,61
37,985,90.4,86,0.2479,8,16,62
38,979,89.9,87,0.2553,8,16,63
39,972,89.3,88,0.2626,8,16,64
40,965,88.6,89,0.2709,8,16,65
41,957,87.9,90,0.2792,8,16,66
42,948,87.1,91,0.2883,8,16,67
43,938,86.1,92,0.2984,8,16,68
44,927,85.1,93,0.3095,8,16,69
45,915,84.0,94,0.3214,8,16,70
46,901,82.7,95,0.3343,8,16,71
47,884,81.2,96,0.3489,8,16,72
48,864,79.3,97,0.3664,8,16,73
49,841,77.2,98,0.3866,8,16,74
50,812,74.6,99,0.4096,8,16,75
51,776,71.3,100,0.438,8,16,76
52,730,67.0,101,0.4729,8,16,77
53,669,61.4,102,0.517,8,16,78
54,586,53.8,103,0.5748,8,16,79
55,471,43.3,104,0.6529,8,16,80
56,313,28.7,105,0.7603,8,16,81
57,113,10.4,105,0.9054,8,15,82
58,0,0.0,56,1.0,4,11,41
59,0,0.0,0,1.0,0,0,0
60,0,0.0,0,1.0,0,0,0
