tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1082,99.4,43,0.079,5,14,24
2,1082,99.4,40,0.0799,4,13,23
3,1084,99.5,37,0.0744,3,12,22
4,1085,99.6,35,0.0689,3,11,21
5,1086,99.7,33,0.0643,3,10,20
6,1087,99.8,31,0.0597,3,9,19
7,1087,99.8,29,0.0551,3,8,18
8,1088,99.9,27,0.0514,3,7,17
9,1088,99.9,25,0.0468,3,6,16
10,1089,100.0,23,0.0432,3,5,15
11,1089,100.0,21,0.0386,3,4,14
12,1089,100.0,20,0.0367,3,4,13
13,1089,100.0,20,0.0367,4,4,12
14,1089,100.0,22,0.0404,4,5,13
15,1089,100.0,25,0.0459,5,6,14
16,1088,99.9,27,0.0496,6,7,14
17,1087,99.8,29,0.0542,7,7,15
18,1086,99.7,32,0.0606,8,8,16
19,1085,99.6,35,0.067,9,9,17
20,1084,99.5,38,0.0735,10,10,18
21,1082,99.4,41,0.0799,11,11,19
22,1081,99.3,42,0.0836,11,12,19
23,1080,99.2,43,0.0863,12,11,20
24,1081,99.3,41,0.0836,11,11,19
25,1083,99.4,38,0.0771,10,10,18
26,1085,99.6,35,0.0698,9,9,17
27,1086,99.7,32,0.0624,8,8,16
28,1087,99.8,29,0.056,7,7,15
29,1088,99.9,26,0.0496,6,6,14
30,1089,100.0,23,0.0432,5,5,13
31,1089,100.0,20,0.0367,4,4,12
32,1089,100.0,17,0.0312,3,3,11
33,1089,100.0,16,0.0294,3,3,10
34,1089,100.0,15,0.0275,3,3,9
35,1089,100.0,14,0.0257,3,3,8
36,1089,100.0,13,0.0239,3,3,7
37,1089,100.0,12,0.022,3,3,6
38,1089,100.0,11,0.38,1026,94.239,1089,100.0,10,0.0139,1018,93.5,81,0.2066,20,27,34
40,1009,92.7,84,0.2195,21,28,35
41,999,91.7,86,0.2314,22,29,35
42,988,90.7,88,0.2443,23,30,35
43,975,89.5,91,0.2599,24,31,36
44,959,88.1,94,0.2773,25,32,37
45,943,86.6,95,0.2938,25,32,38
46,928,85.2,95,0.3085,25,33,37
47,915,84.0,94,0.3205,24,32,38
48,909,83.5,91,0.3269,23,31,37
49,909,83.5,88,0.3269,22,30,36
50,915,84.0,85,0.3214,21,29,35
51,926,85.0,82,0.3104,20,28,34
52,942,86.5,79,0.2948,19,27,33
53,961,88.2,76,0.2746,18,26,32
54,982,90.2,73,0.2516,17,25,31
55,1003,92.1,70,0.2268,16,24,30
56,1022,93.8,67,0.202,15,23,29
57,1037,95.2,64,0.1791,14,22,28
58,1049,96.3,61,0.1598,13,21,27
59,1058,97.2,58,0.1433,12,20,26
60,1064,97.7,55,0.1295,11,19,25
61,1069,98.2,52,0.1185,10,18,24
62,1073,98.5,49,0.1084,9,17,23
63,1076,98.8,46,0.0992,8,16,22
64,1079,99.1,43,0.0909,7,15,21
65,1081,99.3,40,0.0826,6,14,20
66,1083,99.4,37,0.0753,5,13,19
67,1085,99.6,34,0.068,4,12,18
68,1086,99.7,31,0.0606,3,11,17
69,1087,99.8,29,0.056,3,10,16
70,1088,99.9,27,0.0514,3,9,15
71,1088,99.9,25,0.0468,3,8,14
72,1089,100.0,23,0.0432,3,7,13
73,1089,100.0,21,0.0386,3,6,12
74,1089,100.0,19,0.0349,3,5,11
75,1089,100.0,17,0.0312,3,4,10
76,1089,100.0,16,0.0294,3,4,9
77,1089,100.0,16,0.0294,4,4,8
78,1089,100.0,17,0.0312,4,4,9
79,1089,100.0,18,0.0331,5,5,8
80,1089,100.0,20,0.0367,6,5,9
81,1089,100.0,21,0.0386,6,6,9
82,1089,100.0,22,0.0404,6,7,9
83,1089,100.0,23,0.0422,6,7,10
84,1089,100.0,23,0.0422,6,8,9
85,1089,100.0,22,0.0404,6,7,9
86,1089,100.0,20,0.0367,5,7,8
87,1089,100.0,18,0.0331,5,6,7
88,1089,100.0,15,0.0275,4,5,6
89,1089,100.0,12,0.022,3,4,5
90,1089,100.0,10,0.0184,3,3,4
91,1089,100.0,9,0.0165,3,3,3
92,1089,100.0,10,0.0184,3,3,4
93,1089,100.0,12,0.022,4,4,4
94,1089,100.0,15,0.0275,5,5,5
95,1089,100.0,18,0.0331,6,6,6
96,1089,100.0,20,0.0367,6,7,7
97,1089,100.0,22,0.0404,6,8,8
98,1089,100.0,22,0.0404,6,8,8
99,1089,100.0,20,0.0367,6,7,7
100,1089,100.0,17,0.0312,5,6,6
101,1089,100.0,14,0.0257,4,5,5
102,1089,100.0,11,0.0202,3,4,4
103,1089,100.0,9,0.0165,3,3,3
104,1089,100.0,9,0.0165,3,3,3
105,1089,100.0,11,0.0202,3,4,4
106,1089,100.0,13,0.0239,4,4,5
107,1089,100.0,16,0.0294,5,5,6
108,1089,100.0,19,0.0349,6,6,7
109,1089,100.0,20,0.0367,6,6,8
110,1089,100.0,21,0.0386,7,7,7
111,1089,100.0,22,0.0404,7,7,8
112,1089,100.0,22,0.0404,8,7,7
113,1089,100.0,22,0.0404,7,7,8
114,1089,100.0,21,0.0386,7,7,7
115,1089,100.0,19,0.0349,6,6,7
116,1089,100.0,16,0.0294,5,5,6
117,1089,100.0,13,0.0239,4,4,5
118,1089,100.0,10,0.0184,3,3,4
119,1089,100.0,9,0.0165,3,3,3
120,1089,100.0,10,0.0184,3,3,4
