tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1016,93.3,60,0.2103,15,39,6
2,1036,95.1,62,0.1809,16,39,7
3,1045,96.0,64,0.1662,17,39,8
4,1049,96.3,65,0.1598,18,38,9
5,1050,96.4,66,0.1579,19,37,10
6,1048,96.2,68,0.1607,20,37,11
7,1045,96.0,70,0.1662,21,37,12
8,1041,95.6,72,0.1726,22,37,13
9,1037,95.2,74,0.18,23,37,14
10,1032,94.8,76,0.1873,24,37,15
11,1026,94.2,78,0.1956,25,37,16
12,1020,93.7,80,0.2048,26,37,17
13,1014,93.1,81,0.2121,27,36,18
14,1007,92.5,83,0.2213,28,36,19
15,1001,91.9,84,0.2296,29,35,20
16,993,91.2,86,0.2388,30,35,21
17,984,90.4,88,0.2498,31,35,22
18,973,89.3,90,0.2617,32,35,23
19,960,88.2,92,0.2755,33,35,24
20,945,86.8,94,0.2911,34,35,25
21,928,85.2,96,0.3085,35,35,26
22,910,83.6,97,0.326,36,34,27
23,890,81.7,98,0.3444,37,33,28
24,867,79.6,99,0.3646,38,32,29
25,839,77.0,100,0.3875,39,31,30
26,805,73.9,101,0.4151,40,30,31
27,760,69.8,103,0.45,41,30,32
28,702,64.5,104,0.4931,42,29,33
29,625,57.4,105,0.5482,43,28,34
30,519,47.7,106,0.6208,44,27,35
31,372,34.2,107,0.7199,45,26,36
32,177,16.3,108,0.8567,46,25,37
33,0,0.0,88,1.0,40,19,29
34,0,0.0,0,1.0,0,0,0
35,0,0.0,0,1.0,0,0,0
