tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1081,99.3,46,0.0845,6,14,26
2,1078,99.0,47,0.0937,7,15,25
3,1077,98.9,48,0.0983,8,14,26
4,1076,98.8,49,0.101,9,15,25
5,1076,98.8,48,0.1001,9,14,25
6,1078,99.0,45,0.0946,8,13,24
7,1080,99.2,42,0.0872,7,12,23
8,1082,99.4,39,0.0799,6,11,22
9,1084,99.5,36,0.0725,5,10,21
10,1086,99.7,33,0.0652,4,9,20
11,1087,99.8,30,0.0579,3,8,19
12,1088,99.9,28,0.0533,3,7,18
13,1088,99.9,26,0.0487,3,6,17
14,1089,100.0,24,0.045,3,5,16
15,1089,100.0,22,0.0404,3,4,15
16,1089,100.0,21,0.0386,3,4,14
17,1089,100.0,21,0.0386,4,4,13
18,1089,100.0,23,0.0422,4,5,14
19,1089,100.0,25,0.0459,4,6,15
20,1088,99.9,27,0.0496,5,7,15
21,1087,99.8,29,0.0542,5,8,16
22,1086,99.7,32,0.0606,6,9,17
23,1085,99.6,35,0.067,7,10,18
24,1085,99.6,36,0.0698,7,10,19
25,1084,99.5,37,0.0716,8,11,18
26,1084,99.5,37,0.0725,9,10,18
27,1084,99.5,36,0.0707,8,11,17
28,1085,99.6,35,0.0689,9,10,16
29,1086,99.7,32,0.0624,8,9,15
30,1087,99.8,29,0.056,7,8,14
31,1088,99.9,26,0.0496,6,7,13
32,1089,100.0,23,0.0432,5,6,12
33,1089,100.0,20,0.0367,4,5,11
34,1089,100.0,17,0.0312,3,4,10
35,1089,100.0,15,0.0275,3,3,9
36,1089,100.0,14,0.0257,3,3,8
37,1089,100.0,13,0.0239,3,3,7
38,1089,100.0,12,0.022,3,3,6
39,1089,100.0,11,0.0202,3,3,5
40,1089,100.0,10,0.0184,3,3,4
41,1089,100.0,10,0.0184,3,3,4
42,1089,100.0,11,0.0202,3,4,4
43,1089,100.0,13,0.0239,4,4,5
44,1089,100.0,15,0.0275,4,5,6
45,1089,100.0,15,0.0275,4,5,6
46,1089,100.0,17,0.0312,5,6,6
47,1089,100.0,18,0.0331,5,6,7
48,1089,100.0,18,0.0331,6,6,6
49,1089,100.0,18,0.0331,5,6,7
50,1089,100.0,18,0.0331,6,6,6
51,1089,100.0,18,0.0331,5,6,7
52,1089,100.0,18,0.0331,6,6,6
53,1089,100.0,17,0.0312,5,6,6
54,1089,100.0,16,0.0294,6,5,5
55,1089,100.0,16,0.0294,5,5,6
56,1089,100.0,16,0.0294,5,6,5
57,1089,100.0,16,0.0294,6,5,5
58,1089,100.0,17,0.0312,5,6,6
59,1089,100.0,17,0.0312,5,6,6
60,1089,100.0,18,0.0331,6,6,6
61,1089,100.0,19,0.0349,6,6,7
62,1089,100.0,21,0.0386,7,7,7
63,1089,100.0,24,0.0441,8,8,8
64,1089,100.0,25,0.0459,8,9,8
65,1088,99.9,26,0.0478,9,8,9
66,1089,100.0,24,0.045,8,8,8
67,1089,100.0,21,0.0386,7,7,7
68,1089,100.0,18,0.0331,6,6,6
69,1089,100.0,15,0.0275,5,5,5
70,1089,100.0,12,0.022,4,4,4
71,1089,100.0,9,0.0165,3,3,3
72,1089,100.0,9,0.0165,3,3,3
73,1089,100.0,12,0.022,4,4,4
74,1089,100.0,13,0.0239,4,4,5
75,1089,100.0,15,0.0275,5,5,5
76,1089,100.0,16,0.0294,6,5,5
77,1089,100.0,18,0.0331,6,6,6
78,1089,100.0,21,0.0386,7,7,7
79,1089,100.0,24,0.0441,8,8,8
80,1088,99.9,26,0.0478,8,9,9
81,1088,99.9,28,0.0523,8,10,10
82,1087,99.8,31,0.0579,9,11,11
83,1086,99.7,33,0.0624,10,12,11
84,1086,99.7,33,0.0634,10,12,11
85,1087,99.8,31,0.0597,10,11,10
86,1088,99.9,28,0.0533,9,10,9
87,1088,99.9,25,0.0468,8,9,8
88,1089,100.0,22,0.0413,7,8,7
89,1089,100.0,19,0.0349,6,7,6
90,1089,100.0,16,0.0294,5,6,5
91,1089,100.0,13,0.0239,4,5,4
92,1089,100.0,10,0.0184,3,4,3
93,1089,100.0,9,0.0165,3,3,3
94,1089,100.0,9,0.0165,3,3,3
95,1089,100.0,12,0.022,4,4,4
96,1089,100.0,14,0.0257,5,5,4
97,1089,100.0,14,0.0257,5,5,4
98,1089,100.0,14,0.0257,5,5,4
99,1089,100.0,15,0.0275,5,5,5
100,1089,100.0,18,0.0331,6,6,6
101,1089,100.0,20,0.0367,7,7,6
102,1089,100.0,23,0.0422,8,8,7
103,1089,100.0,24,0.0441,8,9,7
104,1089,100.0,24,0.0441,9,8,7
105,1089,100.0,25,0.0459,8,9,8
106,1089,100.0,25,0.0459,9,8,8
107,1089,100.0,25,0.0459,8,9,8
108,1089,100.0,25,0.0459,9,8,8
109,1089,100.0,25,0.0459,8,9,8
110,1089,100.0,25,0.0459,9,8,8
111,1089,100.0,25,0.0459,8,9,8
112,1089,100.0,25,0.0459,9,8,8
113,1089,100.0,25,0.0459,8,9,8
114,1089,100.0,24,0.0441,8,8,8
115,1089,100.0,22,0.0404,7,8,7
116,1089,100.0,19,0.0349,6,7,6
117,1089,100.0,16,0.0294,5,6,5
118,1089,100.0,13,0.0239,4,5,4
119,1089,100.0,10,0.0184,3,4,3
120,1089,100.0,9,0.0165,3,3,3
,4,4
120,1089,100.0,16,0.0294,6,5,5
