tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1080,99.2,48,0.0882,6,16,26
2,1076,98.8,50,0.1001,7,16,27
3,1074,98.6,51,0.1056,7,16,28
4,1073,98.5,52,0.1093,8,17,27
5,1071,98.3,54,0.1139,8,18,28
6,1069,98.2,56,0.1194,9,18,29
7,1066,97.9,58,0.1249,9,19,30
8,1064,97.7,60,0.1313,10,20,30
9,1062,97.5,61,0.135,10,20,31
10,1061,97.4,61,0.1368,11,20,30
11,1060,97.3,61,0.1377,10,20,31
12,1060,97.3,61,0.1387,11,20,30
13,1059,97.2,62,0.1405,10,21,31
14,1059,97.2,62,0.1414,11,21,30
15,1059,97.2,62,0.1414,10,22,30
16,1060,97.3,61,0.1396,11,21,29
17,1061,97.4,60,0.1368,10,22,28
18,1062,97.5,59,0.1341,11,21,27
19,1064,97.7,57,0.1295,10,21,26
20,1068,98.1,54,0.1221,9,20,25
21,1071,98.3,51,0.1129,8,19,24
22,1075,98.7,48,0.1047,7,18,23
23,1078,99.0,45,0.0955,6,17,22
24,1080,99.2,42,0.0872,5,16,21
25,1082,99.4,39,0.0799,4,15,20
26,1084,99.5,36,0.0725,3,14,19
27,1085,99.6,34,0.067,3,13,18
28,1086,99.7,32,0.0624,3,12,17
29,1087,99.8,30,0.0579,3,11,16
30,1088,99.9,28,0.0533,3,10,15
31,1088,99.9,26,0.0487,3,9,14
32,1089,100.0,24,0.045,3,8,13
33,1089,100.0,22,0.0404,3,7,12
34,1089,100.0,20,0.0367,3,6,11
35,1089,100.0,18,0.0331,3,5,10
36,1089,100.0,17,0.0312,3,5,9
37,1089,100.0,16,0.0294,3,5,8
38,1089,100.0,17,0.0312,4,5,8
39,1089,100.0,20,0.0367,5,6,9
40,1089,100.0,22,0.0404,6,6,10
41,1089,100.0,25,0.0459,7,7,11
42,1088,99.9,28,0.0514,8,8,12
43,1087,99.8,30,0.056,9,8,13
44,1086,99.7,32,0.0606,10,8,14
45,1085,99.6,35,0.067,11,9,15
46,1084,99.5,38,0.0735,12,10,16
47,1083,99.4,40,0.0781,13,11,16
48,1081,99.3,43,0.0845,14,12,17
49,1079,99.1,45,0.09,15,13,17
50,1078,99.0,47,0.0955,16,13,18
51,1076,98.8,49,0.1001,17,14,18
52,1074,98.6,52,0.1074,18,15,19
53,1071,98.3,54,0.1129,18,16,20
54,1068,98.1,57,0.1212,19,17,21
55,1064,97.7,60,0.1295,20,18,22
56,1061,97.4,62,0.1368,21,19,22
57,1057,97.1,65,0.1451,22,20,23
58,1054,96.8,66,0.1506,22,21,23
59,1050,96.4,68,0.157,23,22,23
60,1045,96.0,71,0.1662,24,23,24
61,1040,95.5,73,0.1745,25,24,24
62,1034,94.9,76,0.1846,26,25,25
63,1027,94.3,78,0.1938,27,26,25
64,1022,93.8,79,0.202,28,26,25
65,1017,93.4,80,0.2084,27,27,26
66,1011,92.8,82,0.2167,28,27,27
67,1004,92.2,84,0.2259,29,28,27
68,997,91.6,85,0.2342,30,28,27
69,992,91.1,85,0.2406,29,29,27
70,988,90.7,85,0.2452,29,28,28
71,988,90.7,83,0.2452,28,28,27
72,992,91.1,80,0.2397,27,27,26
73,1000,91.8,77,0.2305,26,26,25
74,1010,92.7,74,0.2176,25,25,24
75,1021,93.8,71,0.2029,24,24,23
76,1032,94.8,68,0.1873,23,23,22
77,1042,95.7,65,0.1717,22,22,21
78,1050,96.4,62,0.157,21,21,20
79,1057,97.1,59,0.1442,20,20,19
80,1063,97.6,56,0.1322,19,19,18
81,1068,98.1,53,0.1212,18,18,17
82,1072,98.4,50,0.1111,17,17,16
83,1075,98.7,47,0.1019,16,16,15
84,1078,99.0,44,0.0937,15,15,14
85,1081,99.3,41,0.0854,14,14,13
86,1083,99.4,38,0.0771,13,13,12
87,1085,99.6,35,0.0698,12,12,11
88,1086,99.7,32,0.0624,11,11,10
89,1087,99.8,29,0.056,10,10,9
90,1088,99.9,26,0.0496,9,9,8
91,1089,100.0,23,0.0432,8,8,7
92,1089,100.0,20,0.0367,7,7,6
93,1089,100.0,17,0.0312,6,6,5
94,1089,100.0,14,0.0257,5,5,4
95,1089,100.0,11,0.0202,4,4,3
96,1089,100.0,9,0.0165,3,3,3
97,1089,100.0,9,0.0165,3,3,3
98,1089,100.0,12,0.022,4,4,4
99,1089,100.0,13,0.0239,4,4,5
100,1089,100.0,14,0.0257,5,4,5
101,1089,100.0,15,0.0275,5,5,5
102,1089,100.0,16,0.0294,6,5,5
103,1089,100.0,18,0.0331,7,5,6
104,1089,100.0,21,0.0386,8,6,7
105,1089,100.0,23,0.0422,8,7,8
106,1089,100.0,25,0.0459,9,8,8
107,1088,99.9,28,0.0514,10,9,9
108,1087,99.8,31,0.0579,11,10,10
109,1086,99.7,34,0.0643,12,11,11
110,1085,99.6,35,0.067,12,12,11
111,1085,99.6,36,0.0698,12,12,12
112,1084,99.5,37,0.0716,13,12,12
113,1083,99.4,39,0.0762,13,13,13
114,1082,99.4,40,0.079,13,13,14
115,1081,99.3,42,0.0836,14,13,15
116,1080,99.2,44,0.0882,15,14,15
117,1078,99.0,47,0.0946,16,15,16
118,1075,98.7,50,0.1019,17,16,17
119,1072,98.4,53,0.1102,18,17,18
120,1071,98.3,54,0.1148,19,17,18
,6,6,6
