tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1081,99.3,46,0.0845,5,16,25
2,1079,99.1,46,0.0918,5,16,25
3,1078,99.0,46,0.0937,5,16,25
4,1077,98.9,47,0.0964,5,17,25
5,1076,98.8,48,0.0992,5,17,26
6,1075,98.7,49,0.1019,5,17,27
7,1075,98.7,49,0.1028,5,17,27
8,1075,98.7,49,0.1028,5,17,27
9,1075,98.7,49,0.1028,5,17,27
10,1075,98.7,49,0.1028,5,17,27
11,1075,98.7,49,0.1028,5,17,27
12,1075,98.7,49,0.1028,5,17,27
13,1075,98.7,49,0.1028,5,17,27
14,1075,98.7,49,0.1028,5,17,27
15,1075,98.7,49,0.1028,5,17,27
16,1075,98.7,49,0.1028,5,17,27
17,1075,98.7,49,0.1028,5,17,27
18,1075,98.7,49,0.1028,5,17,27
19,1075,98.7,49,0.1028,5,17,27
20,1074,98.6,51,0.1065,5,18,28
21,1071,98.3,54,0.1129,6,19,29
22,1070,98.3,55,0.1175,7,19,29
23,1068,98.1,56,0.1203,7,20,29
24,1068,98.1,56,0.1221,7,20,29
25,1067,98.0,57,0.124,7,21,29
26,1065,97.8,59,0.1286,8,21,30
27,1064,97.7,59,0.1304,8,21,30
28,1064,97.7,59,0.1313,8,21,30
29,1064,97.7,59,0.1313,8,21,30
30,1062,97.5,61,0.135,9,22,30
31,1060,97.3,62,0.1387,9,22,31
32,1058,97.2,63,0.1423,9,23,31
33,1057,97.1,63,0.1442,9,23,31
34,1056,97.0,64,0.1469,9,24,31
35,1054,96.8,65,0.1497,10,24,31
36,1053,96.7,65,0.1515,10,24,31
37,1052,96.6,66,0.1543,10,25,31
38,1050,96.4,67,0.157,10,26,31
39,1049,96.3,67,0.1589,10,25,32
40,1046,96.1,70,0.1653,11,26,33
41,1043,95.8,71,0.1699,12,26,33
42,1040,95.5,72,0.1745,12,26,34
43,1038,95.3,72,0.1772,12,26,34
44,1037,95.2,72,0.1791,12,26,34
45,1035,95.0,73,0.1818,13,26,34
46,1033,94.9,74,0.1855,13,27,34
47,1030,94.6,75,0.1892,14,27,34
48,1026,94.2,77,0.1956,14,28,35
49,1022,93.8,78,0.2011,15,28,35
50,1020,93.7,78,0.2048,15,28,35
51,1018,93.5,78,0.2066,15,28,35
52,1016,93.3,79,0.2103,15,29,35
53,1013,93.0,80,0.214,16,29,35
54,1009,92.7,81,0.2185,16,30,35
55,1006,92.4,81,0.2222,16,30,35
56,1004,92.2,81,0.225,16,30,35
57,1003,92.1,81,0.2268,16,30,35
58,1002,92.0,81,0.2277,16,30,35
59,1001,91.9,81,0.2287,16,30,35
60,1001,91.9,81,0.2296,16,30,35
61,1001,91.9,81,0.2296,16,30,35
62,1001,91.9,81,0.2296,16,30,35
63,999,91.7,82,0.2314,16,31,35
64,996,91.5,83,0.2351,16,32,35
65,992,91.1,84,0.2397,17,32,35
66,989,90.8,84,0.2433,17,32,35
67,987,90.6,84,0.2461,17,32,35
68,985,90.4,84,0.2479,17,32,35
69,984,90.4,84,0.2498,17,32,35
70,981,90.1,85,0.2525,17,33,35
71,977,89.7,86,0.2571,18,33,35
72,972,89.3,87,0.2626,18,34,35
73,968,88.9,87,0.2672,18,34,35
74,965,88.6,87,0.2709,18,34,35
75,962,88.3,87,0.2736,18,34,35
76,958,88.0,88,0.2782,18,35,35
77,954,87.6,88,0.2819,18,35,35
78,949,87.1,89,0.2874,18,35,36
79,943,86.6,90,0.2938,18,36,36
80,935,85.9,91,0.3012,18,37,36
81,926,85.0,92,0.3104,19,37,36
82,917,84.2,92,0.3186,19,37,36
83,907,83.3,93,0.3287,20,37,36
84,897,82.4,93,0.3379,20,37,36
85,886,81.4,93,0.3471,20,37,36
86,875,80.3,93,0.3572,20,37,36
87,863,79.2,93,0.3673,20,37,36
88,848,77.9,94,0.3802,20,37,37
89,829,76.1,95,0.3958,21,37,37
90,805,73.9,96,0.4151,21,38,37
91,777,71.3,96,0.4371,21,38,37
92,741,68.0,97,0.4646,21,38,38
93,696,63.9,97,0.4977,21,38,38
94,638,58.6,97,0.539,21,38,38
95,561,51.5,97,0.5923,21,38,38
96,456,41.9,97,0.663,21,38,38
97,314,28.8,97,0.7594,21,38,38
98,130,11.9,98,0.8916,22,38,38
99,0,0.0,65,1.0,17,24,24
