tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1071,98.3,62,0.1139,6,30,26
2,1061,97.4,65,0.1359,7,31,27
3,1055,96.9,67,0.1488,8,31,28
4,1050,96.4,69,0.1579,9,31,29
5,1045,96.0,71,0.1662,10,31,30
6,1040,95.5,73,0.1745,11,31,31
7,1035,95.0,75,0.1827,12,31,32
8,1029,94.5,77,0.191,13,31,33
9,1023,93.9,79,0.2002,14,31,34
10,1016,93.3,81,0.2094,15,31,35
11,1009,92.7,83,0.2195,16,31,36
12,1001,91.9,85,0.2296,17,31,37
13,992,91.1,87,0.2406,18,31,38
14,981,90.1,89,0.2525,19,31,39
15,971,89.2,90,0.2645,20,30,40
16,959,88.1,92,0.2773,21,30,41
17,946,86.9,93,0.2902,22,29,42
18,933,85.7,94,0.3039,23,28,43
19,918,84.3,95,0.3177,24,27,44
20,902,82.8,96,0.3333,25,26,45
21,881,80.9,98,0.3517,26,26,46
22,855,78.5,100,0.3747,27,26,47
23,821,75.4,102,0.4022,28,26,48
24,780,71.6,103,0.4353,29,25,49
25,727,66.8,104,0.4747,30,24,50
26,657,60.3,105,0.5253,31,23,51
27,562,51.6,106,0.5914,32,22,52
28,430,39.5,107,0.6804,33,21,53
29,251,23.0,108,0.8035,34,20,54
30,34,3.1,109,0.9697,35,19,55
31,0,0.0,17,1.0,8,3,6
32,0,0.0,0,1.0,0,0,0
33,0,0.0,0,1.0,0,0,0
