tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1081,99.3,45,0.0826,5,15,25
2,1079,99.1,45,0.09,5,15,25
3,1079,99.1,45,0.0918,5,15,25
4,1079,99.1,45,0.0918,5,15,25
5,1078,99.0,46,0.0937,5,16,25
6,1078,99.0,46,0.0946,5,16,25
7,1078,99.0,46,0.0946,5,16,25
8,1078,99.0,46,0.0946,5,16,25
9,1077,98.9,47,0.0964,5,17,25
10,1077,98.9,47,0.0973,5,17,25
11,1077,98.9,47,0.0973,5,17,25
12,1077,98.9,47,0.0973,5,17,25
13,1076,98.8,48,0.0992,5,18,25
14,1075,98.7,50,0.1038,6,19,25
15,1075,98.7,50,0.1047,6,19,25
16,1075,98.7,50,0.1047,6,19,25
17,1075,98.7,50,0.1047,6,19,25
18,1075,98.7,50,0.1047,6,19,25
19,1075,98.7,50,0.1047,6,19,25
20,1075,98.7,50,0.1047,6,19,25
21,1075,98.7,49,0.1028,6,18,25
22,1076,98.8,48,0.101,6,18,24
23,1076,98.8,48,0.1001,6,18,24
24,1075,98.7,49,0.1019,7,18,24
25,1075,98.7,49,0.1028,7,18,24
26,1075,98.7,49,0.1028,7,18,24
27,1075,98.7,49,0.1028,7,18,24
28,1075,98.7,49,0.1028,7,18,24
29,1075,98.7,49,0.1028,7,18,24
30,1075,98.7,49,0.1028,7,18,24
31,1075,98.7,49,0.1028,7,18,24
32,1075,98.7,49,0.1028,7,18,24
33,1075,98.7,50,0.1047,7,18,25
34,1075,98.7,50,0.1047,7,18,25
35,1075,98.7,50,0.1047,7,18,25
36,1075,98.7,50,0.1047,7,18,25
37,1075,98.7,50,0.1047,7,18,25
38,1075,98.7,50,0.1047,7,18,25
39,1075,98.7,50,0.1047,7,18,25
40,1074,98.6,51,0.1065,7,18,26
41,1074,98.6,51,0.1074,7,18,26
42,1074,98.6,51,0.1074,7,18,26
43,1074,98.6,50,0.1056,7,18,25
44,1074,98.6,51,0.1074,8,18,25
45,1074,98.6,51,0.1074,8,18,25
46,1073,98.5,52,0.1093,8,19,25
47,1072,98.4,52,0.1102,8,19,25
48,1073,98.5,51,0.1093,7,19,25
49,1074,98.6,50,0.1065,7,18,25
50,1075,98.7,49,0.1038,6,18,25
51,1076,98.8,48,0.101,6,18,24
52,1077,98.9,47,0.0983,6,17,24
53,1078,99.0,46,0.0955,6,17,23
54,1079,99.1,45,0.0927,5,17,23
55,1079,99.1,44,0.09,4,17,23
56,1080,99.2,43,0.0882,4,16,23
57,1080,99.2,43,0.0872,4,16,23
58,1080,99.2,43,0.0872,4,16,23
59,1080,99.2,44,0.0891,4,17,23
60,1080,99.2,44,0.0891,4,17,23
61,1080,99.2,44,0.0891,4,17,23
62,1080,99.2,44,0.0891,4,17,23
63,1080,99.2,44,0.0891,4,17,23
64,1080,99.2,44,0.0891,4,17,23
65,1080,99.2,44,0.0891,4,17,23
66,1080,99.2,44,0.0891,4,17,23
67,1080,99.2,44,0.0891,4,17,23
68,1081,99.3,42,0.0854,3,16,23
69,1081,99.3,42,0.0845,2,17,23
70,1081,99.3,42,0.0845,2,17,23
71,1081,99.3,42,0.0845,2,17,23
72,1080,99.2,43,0.0863,2,18,23
73,1079,99.1,45,0.0909,2,19,24
74,1079,99.1,45,0.0918,2,19,24
75,1078,99.0,46,0.0937,2,20,24
76,1079,99.1,45,0.0927,2,20,23
77,1079,99.1,44,0.09,2,19,23
78,1079,99.1,44,0.09,2,19,23
79,1079,99.1,44,0.09,2,19,23
80,1079,99.1,44,0.09,2,19,23
81,1079,99.1,44,0.09,2,19,23
82,1079,99.1,44,0.09,2,19,23
83,1079,99.1,44,0.09,2,19,23
84,1079,99.1,44,0.09,2,19,23
85,1079,99.1,44,0.09,2,19,23
86,1079,99.1,45,0.0918,3,19,23
87,1080,99.2,43,0.0882,2,18,23
88,1081,99.3,42,0.0854,2,17,23
89,1081,99.3,42,0.0845,2,17,23
90,1081,99.3,42,0.0845,2,17,23
91,1081,99.3,42,0.0845,2,17,23
92,1081,99.3,42,0.0845,2,17,23
93,1081,99.3,42,0.0845,2,17,23
94,1081,99.3,41,0.0826,2,16,23
95,1081,99.3,41,0.0826,2,16,23
96,1082,99.4,40,0.0808,2,15,23
97,1082,99.4,40,0.0799,2,15,23
98,1082,99.4,41,0.0817,3,15,23
99,1082,99.4,40,0.0799,2,15,23
100,1083,99.4,39,0.0781,1,15,23
101,1083,99.4,39,0.0771,1,15,23
102,1083,99.4,39,0.0771,1,15,23
103,1083,99.4,39,0.0771,1,15,23
104,1083,99.4,39,0.0771,1,15,23
105,1083,99.4,39,0.0771,1,15,23
106,1082,99.4,41,0.0808,2,15,24
107,1082,99.4,41,0.0817,2,15,24
108,1082,99.4,41,0.0817,2,15,24
109,1082,99.4,41,0.0817,2,15,24
110,1082,99.4,41,0.0817,2,15,24
111,1081,99.3,42,0.0836,2,15,25
112,1081,99.3,42,0.0845,2,15,25
113,1081,99.3,41,0.0826,1,14,26
114,1081,99.3,41,0.0826,1,14,26
115,1081,99.3,41,0.0826,1,14,26
116,1082,99.4,40,0.0808,0,14,26
117,1082,99.4,40,0.0799,0,14,26
118,1082,99.4,40,0.0799,0,14,26
119,1082,99.4,41,0.0817,1,14,26
120,1081,99.3,42,0.0836,2,14,26
