tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1081,99.3,45,0.0826,6,15,24
2,1080,99.2,44,0.0882,5,14,25
3,1080,99.2,43,0.0872,6,13,24
4,1082,99.4,40,0.0817,5,12,23
5,1084,99.5,37,0.0744,4,11,22
6,1085,99.6,34,0.067,3,10,21
7,1086,99.7,32,0.0624,3,9,20
8,1087,99.8,30,0.0579,3,8,19
9,1088,99.9,28,0.0533,3,7,18
10,1088,99.9,26,0.0487,3,6,17
11,1089,100.0,24,0.045,3,5,16
12,1089,100.0,22,0.0404,3,4,15
13,1089,100.0,21,0.0386,3,4,14
14,1089,100.0,21,0.0386,4,4,13
15,1089,100.0,23,0.0422,4,5,14
16,1088,99.9,26,0.0478,5,6,15
17,1088,99.9,28,0.0523,6,6,16
18,1087,99.8,31,0.0579,7,7,17
19,1086,99.7,33,0.0624,8,7,18
20,1085,99.6,36,0.0689,9,8,19
21,1084,99.5,38,0.0735,10,8,20
22,1083,99.4,40,0.0781,11,8,21
23,1082,99.4,41,0.0808,11,9,21
24,1081,99.3,42,0.0836,12,9,21
25,1081,99.3,42,0.0845,11,10,21
26,1081,99.3,41,0.0826,12,9,20
27,1082,99.4,40,0.0808,11,10,19
28,1084,99.5,37,0.0744,10,9,18
29,1085,99.6,34,0.067,9,8,17
30,1086,99.7,31,0.0606,8,7,16
31,1087,99.8,28,0.0542,7,6,15
32,1088,99.9,25,0.0478,6,5,14
33,1089,100.0,22,0.0413,5,4,13
34,1089,100.0,19,0.0349,4,3,12
35,1089,100.0,17,0.0312,3,3,11
36,1089,100.0,16,0.0294,3,3,10
37,1089,100.0,15,0.0275,3,3,9
38,1089,100.0,14,0.0257,3,3,8
39,1089,100.0,13,0.0239,3,3,7
40,1089,100.0,12,0.022,3,3,6
41,1089,100.0,11,0.0202,3,3,5
42,1089,100.0,10,0.0184,3,3,4
43,1089,100.0,10,0.0184,3,3,4
44,1089,100.0,12,0.022,4,4,4
45,1089,100.0,14,0.0257,5,5,4
46,1089,100.0,16,0.0294,6,5,5
47,1089,100.0,19,0.0349,7,6,6
48,1089,100.0,22,0.0404,8,7,7
49,1089,100.0,24,0.0441,8,8,8
50,1088,99.9,26,0.0478,8,9,9
51,1088,99.9,28,0.0523,8,10,10
52,1087,99.8,30,0.056,8,11,11
53,1087,99.8,31,0.0588,8,11,12
54,1086,99.7,32,0.0606,9,12,11
55,1086,99.7,33,0.0634,10,11,12
56,1086,99.7,33,0.0634,10,12,11
57,1086,99.7,33,0.0634,10,11,12
58,1057,1069,98.2,53,0.1194,16,1459,1058,1072,98.4,50,0.1102,15,1360,1059,1075,98.7,47,0.1019,14,12,21
60,1078,99.0,44,0.0937,13,11,20
61,1081,99.3,41,0.0854,12,10,19
62,1083,99.4,38,0.0771,11,9,18
63,1085,99.6,35,0.0698,10,8,17
64,1086,99.7,32,0.0624,9,7,16
65,1087,99.8,29,0.056,8,6,15
66,1088,99.9,26,0.0496,7,5,14
67,1089,100.0,23,0.0432,6,4,13
68,1089,100.0,20,0.0367,5,3,12
69,1089,100.0,18,0.0331,4,3,11
70,1089,100.0,17,0.0312,4,3,10
71,1089,100.0,73,1089,100.0,18,72,1089,100.0,17,0.0312,4,4,9
73,1089,100.0,75,1089,100.0,20,74,1089,100.0,76,1089,100.0,20,75,1089,100.0,77,1089,100.0,20,76,1089,100.0,78,1089,100.0,20,77,1089,100.0,79,1089,100.0,19,78,1089,100.0,80,1089,100.0,18,79,1089,100.0,81,1089,100.0,17,80,1089,100.0,82,1089,100.0,16,81,1089,100.0,83,1089,100.0,17,82,1089,100.0,84,1089,100.0,18,83,1088,99.9,285,1089,100.0,19,84,1088,99.9,28,0.0523,8,9,11
85,1087,99.8,29,0.0542,8,9,12
86,1087,99.8,29,0.0551,8,10,11
87,1087,99.8,29,0.0551,8,9,12
88,1087,99.8,30,0.0569,9,10,11
89,1087,9991,1089,100.0,24,0.0490,1087,99.8,30,0.0569,9,10,11
91,1087,99.8,30,0.0569,9,9,12
92,1087,99.8,30,0.0569,9,10,11
93,1087,99.8,30,0.0569,9,9,12
94,1087,99.8,29,0.0551,9,9,11
95,1088,99.9,26,0.0496,8,8,10
96,1089,100.0,23,0.0432,7,7,9
97,1089,100.0,20,0.0367,6,6,8
98,1089,100.0,17,0.0312,5,5,7
99,1089,100.0,14,0.0257,4,4,6
100,1089,100.0,11,0.0202,3,3,5
101,1089,100.0,10,0.0184,3,3,4
102,1089,100.0,10,0.0184,3,3,4
103,1089,100.0,12,0.022,4,4,4
104,1089,100.0,14,0.0257,5,5,4
105,1089,100.0,15,0.0275,5,5,5
106,1089,100.0,16,0.0294,5,6,5
107,1089,109,1087,99.8,31,0.0588108,1089,10110,1086,99.7,33,0.06109,1089,100.111,1085,99.6,36,0.110,1089,100.0,112,1084,99.5,38,111,1089,100.0,25113,1083,99.4,4112,1088,99.9,27,0.114,1081,99.113,1087,99.8,29,0.054115,1079,99114,1086,99.7,32,0.0606116,1077,98.9,48,0.0973,15,16,17
117,1076,98116,1085,99.6,36,0.068118,1075,98.117,1083,99.4,39,0.075119,1075,98.118,1082,99.4,40,0.079120,1077,98.9,46,0.0973,14,16,16
,14,13,13
120,1083,99.4,39,0.0781,15,12,12
