tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1080,99.2,48,0.0882,6,16,26
2,1075,98.7,51,0.1019,7,17,27
3,1072,98.4,53,0.1102,8,18,27
4,1070,98.3,55,0.1166,9,18,28
5,1068,98.1,56,0.1203,9,19,28
6,1067,98.0,57,0.124,10,18,29
7,1066,97.9,57,0.1249,10,19,28
8,1066,97.9,57,0.1258,10,18,29
9,1067,98.0,56,0.124,10,18,28
10,1070,98.3,53,0.1175,9,17,27
11,1073,98.5,50,0.1093,8,16,26
12,1076,98.8,47,0.101,7,15,25
13,1079,99.1,44,0.0927,6,14,24
14,1081,99.3,41,0.0845,5,13,23
15,1083,99.4,38,0.0771,4,12,22
16,1085,99.6,35,0.0698,3,11,21
17,1086,99.7,33,0.0643,3,10,20
18,1087,99.8,31,0.0597,3,9,19
19,1087,99.8,29,0.0551,3,8,18
20,1088,99.9,27,0.0514,3,7,17
21,1088,99.9,25,0.0468,3,6,16
22,1089,100.0,23,0.0432,3,5,15
23,1089,100.0,21,0.0386,3,4,14
24,1089,100.0,20,0.0367,3,4,13
25,1089,100.0,19,0.0349,3,4,12
26,1089,100.0,18,0.0331,3,4,11
27,1089,100.0,18,0.0331,4,4,10
28,1089,100.0,19,0.0349,4,4,11
29,1089,100.0,19,0.0349,4,5,10
30,1089,100.0,19,0.0349,4,4,11
31,1089,100.0,19,0.0349,4,5,10
32,1089,100.0,18,0.0331,4,4,10
33,1089,100.0,18,0.0331,4,5,9
34,1089,100.0,19,0.0349,5,4,10
35,1089,100.0,19,0.0349,5,5,9
36,1089,100.0,19,0.0349,5,5,9
37,1089,100.0,20,0.0367,6,6,8
38,1089,100.0,22,0.0404,6,7,9
39,1089,100.0,23,0.0422,7,7,9
40,1088,99.9,26,0.0478,8,8,10
41,1088,99.9,28,0.0523,9,9,10
42,1087,99.8,30,0.056,9,10,11
43,1086,99.7,33,0.0624,10,11,12
44,1085,99.6,35,0.067,11,12,12
45,1084,99.5,38,0.0735,12,13,13
46,1083,99.4,39,0.0762,13,13,13
47,1082,99.4,40,0.079,12,14,14
48,1083,99.4,39,0.0781,13,13,13
49,1084,99.5,36,0.0716,12,12,12
50,1086,99.7,33,0.0652,11,11,11
51,1087,99.8,30,0.0579,10,10,10
52,1088,99.9,27,0.0514,9,9,9
53,1089,100.0,24,0.045,8,8,8
54,1089,100.0,21,0.0386,7,7,7
55,1089,100.0,18,0.0331,6,6,6
56,1089,100.0,15,0.0275,5,5,5
57,1089,100.0,12,0.022,4,4,4
58,1089,100.0,9,0.0165,3,3,3
59,1089,100.0,9,0.0165,3,3,3
60,1089,100.0,12,0.022,4,4,4
61,1089,100.0,13,0.0239,4,4,5
62,1089,100.0,14,0.0257,5,4,5
63,1089,100.0,15,0.0275,5,4,6
64,1089,100.0,16,0.0294,6,4,6
65,1089,100.0,17,0.0312,6,5,6
66,1089,100.0,18,0.0331,6,6,6
67,1089,100.0,19,0.0349,7,6,6
68,1089,100.0,21,0.0386,7,7,7
69,1089,100.0,24,0.0441,8,8,8
70,1088,99.9,27,0.0496,9,9,9
71,1087,99.8,29,0.0542,10,10,9
72,1086,99.7,32,0.0606,11,11,10
73,1086,99.7,34,0.0652,12,11,11
74,1085,99.6,36,0.0689,12,12,12
75,1083,99.4,39,0.0753,13,13,13
76,1082,99.4,41,0.0808,13,14,14
77,1081,99.3,43,0.0854,13,15,15
78,1079,99.1,45,0.09,13,16,16
79,1078,99.0,47,0.0955,13,17,17
80,1075,98.7,50,0.1019,14,18,18
81,1073,98.5,52,0.1084,14,19,19
82,1071,98.3,54,0.1139,14,20,20
83,1069,98.2,56,0.1194,14,21,21
84,1066,97.9,58,0.1249,14,22,22
85,1063,97.6,61,0.1331,15,23,23
86,1060,97.3,62,0.1377,15,23,24
87,1059,97.2,62,0.1405,16,23,23
88,1060,97.3,60,0.1377,15,22,23
89,1064,97.7,57,0.1313,14,21,22
90,1068,98.1,54,0.1221,13,20,21
91,1071,98.3,51,0.1129,12,19,20
92,1075,98.7,48,0.1047,11,18,19
93,1078,99.0,45,0.0955,10,17,18
94,1080,99.2,42,0.0872,9,16,17
95,1082,99.4,39,0.0799,8,15,16
96,1084,99.5,36,0.0725,7,14,15
97,1086,99.7,33,0.0652,6,13,14
98,1087,99.8,30,0.0579,5,12,13
99,1088,99.9,27,0.0514,4,11,12
100,1089,100.0,24,0.045,3,10,11
101,1089,100.0,22,0.0404,3,9,10
102,1089,100.0,20,0.0367,3,8,9
103,1089,100.0,18,0.0331,3,7,8
104,1089,100.0,16,0.0294,3,6,7
105,1089,100.0,14,0.0257,3,5,6
106,1089,100.0,12,0.022,3,4,5
107,1089,100.0,11,0.0202,3,4,4
108,1089,100.0,11,0.0202,3,4,4
109,1089,100.0,12,0.022,4,4,4
110,1089,100.0,14,0.0257,5,5,4
111,1089,100.0,15,0.0275,5,5,5
112,1089,100.0,18,0.0331,6,6,6
113,1089,100.0,20,0.0367,7,6,7
114,1089,100.0,22,0.0404,8,6,8
115,1089,100.0,24,0.0441,9,6,9
116,1089,100.0,24,0.0441,9,6,9
117,1089,100.0,23,0.0422,8,7,8
118,1089,100.0,22,0.0404,8,6,8
119,1089,100.0,20,0.0367,7,6,7
120,1089,100.0,17,0.0312,6,5,6
