tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1081,99.3,45,0.0826,6,14,25
2,1082,99.4,41,0.0817,5,13,233,3,1083,99.4,39,0.0781,5,12,224,4,1084,99.5,37,0.0735,5,11,5,5,5,1085,99.6,35,0.0689,5,10,6,106,1086,99.7,33,0.0643,5,9,17,17,1087,99.8,31,0.0597,5,8,188,8,1087,99.8,29,0.0551,5,7,179,1086,99.7,32,0.0624,5,9,18
10,1087,99.8,30,0.0579,5,8,17
1111,1088,99.9,26,0.0487,6,6,14
12,1088,99.9,27,0.0505,6,7,141313,1087,99.8,30,0.056,7,8,15114,1086,99.7,32,0.0606,8,8,161115,1087,99.8,31,0.0588,9,7,1516,1085,99.6,36,0.0698,9,9,18
117,1087,99.8,29,0.0542,7,8,14
18,1084,99.5,37,0.0716,10,9,1819,1086,99.7,34,0.0652,8,10,16
20,1085,99.6,36,0.0689,9,11,16
21,1084,99.5,38,0.0735,10,11,17
22,1082,99.4,41,0.0799,11,12,18
23,1080,99.2,44,0.0872,12,13,19
24,1079,99.1,46,0.0927,13,14,19
25,1077,98.9,48,0.0973,14,15,19
26,1075,98.7,51,0.1047,15,16,20
27,1073,98.5,52,0.1084,16,16,20
28,1072,98.4,53,0.112,16,17,20
29,1071,98.3,54,0.1148,17,16,21
30,1071,98.3,53,0.1139,16,17,20
31,1072,98.4,51,0.1102,16,16,19
32,132,1078,99.0,46,0.0946,14,15,33,133,1078,99.0,46,0.0946,14,14,34,134,1079,99.1,45,0.0927,14,14,35,135,1080,99.2,42,0.0863,13,13,36,136,1082,99.4,39,0.0799,12,12,37,137,1084,99.5,36,0.0725,11,13838,138,1086,99.7,33,0.0652,10,139,10839,1087,99.8,30,0.0579,9,4040,140,1088,99.9,27,0.0514,8,41,14141,1089,100.0,24,0.045,7,42,10842,1089,100.0,21,0.0386,643,1084343,1065,97.8,55,0.1276,44,10844,144,1070,98.3,52,0.1175,17,145,10845,1074,98.6,49,0.1074,1646,1089,46,1077,98.9,46,47,1086,99.7,34,047,1079,99.1,4348,1085,99.6,36,48,1081,99.3,40,049,1083,99.4,39,49,1083,99.4,37,050,1082,99.4,40,50,1085,99.6,34,51,1081,99.3,43,51,1086,99.7,31,052,1079,99.1,4652,1087,99.8,28,0.53,1077,98.9,53,1088,99.9,25,0.0454,1075,98.7,51,0.1047,16,17,18
55,1072,98.4,53,0.1102,16,18,19
56,1070,98.3,55,0.1166,17,19,19
57,1068,98.1,57,0.1221,18,19,20
58,1064,97.7,60,0.1295,19,20,21
59,1062,97.5,61,0.135,20,20,21
60,1061,97.4,61,0.1368,19,21,2161,1089,100.0,22,0.0404,7,7,8
62,162,1064,97.7,57,0.1304,19,163,1088,99.9,27,0.0496,9,8,10
64,1088,64,1071,98.3,51,0.1129,65,1087,99.8,30,0.056,10,10,10
66,1087,99.8,31,0.0588,11,10,10
67,1087,99.8,31,0.0588,11,10,10
68,1086,99.7,33,0.0624,11,11,11
69,1085,99.6,35,0.067,12,11,12
70,1084,99.5,38,0.0735,13,12,13
71,1083,99.4,40,0.0781,14,12,14
72,1082,99.4,41,0.0808,15,12,14
73,1081,99.3,42,0.0836,14,13,15
74,1080,99.2,43,0.0863,15,14,14
75,1080,99.2,43,0.0872,14,14,15
76,1080,99.2,43,0.0872,15,14,14
77,1080,99.2,43,0.0872,14,14,15
78,1080,99.2,43,0.0872,15,14,14
79,1080,99.2,43,0.0872,14,14,15
80,1081,99.3,42,0.0854,14,14,14
81,1082,99.4,40,0.0808,13,13,14
82,1084,99.5,37,0.0744,12,12,13
83,1085,99.6,34,0.067,11,11,12
84,1086,99.7,31,0.0606,10,10,11
85,1087,99.8,28,0.0542,9,9,10
86,1088,99.9,25,0.0478,8,8,9
87,1089,100.0,22,0.0413,7,7,8
88,1089,100.0,19,0.0349,6,6,7
89,1089,100.0,16,0.0294,5,5,6
90,1089,100.0,15,0.0275,5,5,5
91,1089,100.0,15,0.0275,5,5,5
92,1089,100.0,18,0.0331,6,6,69393,1089,100.0,20,0.0367,6,7,7
94,1089,100.0,21,0.0386,6,8,7
95,1089,100.0,22,0.0404,6,8,8
96,1089,100.0,24,0.0441,7,9,8
97,1088,99.9,26,0.0478,8,10,8
98,1087,98,1066,97.9,58,0.1258,99,1087,99.8,31,0.0588,10,11,10
100,1086,99.7,34,0.0643,11,12,11
101,1084,99.5,37,0.0707,12,13,12
102,1083,102,1070,98.3,52,0.1157,1103,1082,103,1074,98.6,49,0.1074,1104,1080,104,1077,98.9,46,0.0983,1105,1079,105,1079,99.1,43,0.09,14,15,14
106,1081,99.3,40,0.0826,13,14,13
107,1083,99.4,37,0.0753,12,13,12
108,1085,99.6,34,0.068,11,12,11
109,1086,99.7,31,0.0606,10,11,10
110,1087,99.8,28,0.0542,9,10111,111,1088,99.9,25,0.0478,8,9,8
112,1089,100.0,22,0.0413,7,8,7
113,1089,100.0,19,0.0349,6,7,6
114,1089,100.0,16,0.0294,5,6,5
115,1089,100.0,15,0.0275,5,5,5
116,1089,100.0,16,0.0294,5,6,5
117,1089,100.0,17,0.0312,5,6,6
118,1089,100.0,19,0.0349,6,7,6
119,1089,100.0,22,0.0404,7,8,7
120,1089,100.0,23,0.0422,8,8,7
.0579,11,10,9
