tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1081,99.3,46,0.0845,6,15,25
2,1077,98.9,49,0.0973,7,16,26
3,1075,98.7,51,0.1047,7,17,27
4,1074,98.6,51,0.1065,7,17,27
5,1075,98.7,49,0.1038,7,16,26
6,1077,98.9,46,0.0973,6,15,2577,1079,99.1,43,0.09,5,14,24
8,1081,99.3,41,0.0845,5,13,2399,1082,99.4,39,0.079,5,12,22110,1084,99.5,37,0.0744,5,11,21
11,1085,99.6,35,0.0689,5,10,20
12,1086,99.7,33,0.0643,5,9,19
13,1087,99.8,31,0.0597,5,8,18
14,1087,99.8,29,0.0551,5,7,17
15,1088,99.9,27,0.0514,5,6,16
16,1088,99.9,26,0.0487,5,6,17,117,1088,99.9,25,0.0468,5,6,14
18,1088,99.9,25,0.0468,6,6,131919,1088,99.9,25,0.0468,6,6,13
20,1088,99.9,26,0.0487,7,7,12
21,1088,99.9,27,0.0505,7,7,13
22,1088,99.9,28,0.0523,8,8,12
23,1087,99.8,30,0.056,8,9,13
24,1086,99.7,32,0.0606,8,10,14
25,1086,99.7,34,0.0652,9,11,14
26,1084,99.5,37,0.0707,10,12,15
27,1083,99.4,39,0.0762,11,13,15
28,1082,99.4,41,0.0808,11,14,16
29,1081,99.3,43,0.0854,12,14,17
30,1079,99.1,45,0.09,13,15,17
31,1077,98.9,48,0.0973,14,16,18
32,1075,98.7,51,0.1047,15,17,19
33,1072,98.4,54,0.112,16,18,20
34,1069,98.2,56,0.1185,17,18,21
35,1066,97.9,59,0.1267,18,19,22
36,1064,97.7,60,0.1313,19,19,22
37,1064,97.7,59,0.1313,18,19,22
38,1066,97.9,56,0.1258,17,18,21
39,1069,98.2,53,0.1185,16,17,20
40,1072,98.4,50,0.1102,15,16,19
41,1075,98.7,47,0.1019,14,15,18
42,1078,99.0,44,0.0937,13,14,17
43,1081,99.3,41,0.0854,12,13,16
44,1083,99.4,38,0.0771,11,12,15
45,1085,99.6,35,0.0698,10,11,14
46,1086,99.7,32,0.0624,9,10,13
47,1087,99.8,29,0.056,8,9,12
48,1088,99.9,26,0.0496,7,8,11
49,1089,100.0,23,0.0432,6,7,10
50,1089,100.0,20,0.0367,5,6,9
51,1089,100.0,18,0.0331,5,5,8
52,1089,100.0,17,0.0312,5,5,7
53,1089,100.0,18,0.0331,6,6,6
54,1089,100.0,21,0.0386,7,7,7
55,1089,100.0,23,0.0422,8,7,8
56,1089,100.0,25,0.0459,9,7,9
57,1088,99.9,28,0.0514,10,8,10
58,1087,99.8,30,0.056,11,8,11
59,1086,99.7,33,0.0624,12,9,12
60,1085,99.6,36,0.0689,13,10,13
61,1084,99.5,38,0.0735,14,11,13
62,1083,99.4,40,0.0781,15,11,14
63,1081,99.3,42,0.0826,16,12,14
64,1079,99.1,45,0.09,17,13,15
65,1077,98.9,48,0.0973,18,14,16
66,1076,98.8,49,0.101,18,14,17
67,1075,98.7,49,0.1019,18,15,16
68,1076,98.8,48,0.101,17,14,17
69,1077,98.9,46,0.0964,16,14,16
70,1079,99.1,43,0.09,15,13,15
71,1081,99.3,40,0.0826,14,12,14
72,1083,99.4,37,0.0753,13,11,13
73,1085,99.6,34,0.068,12,10,12
74,1086,99.7,31,0.0606,11,9,11
75,1087,99.8,28,0.0542,10,8,10
76,1088,99.9,25,0.0478,9,7,9
77,1089,100.0,22,0.0413,8,6,8
78,1089,100.0,19,0.0349,7,5,7
79,1089,100.0,17,0.0312,6,5,6
80,1089,100.0,17,0.0312,6,5,6
81,1089,100.0,20,0.0367,7,6,7
82,1089,100.0,21,0.0386,7,6,8
83,1089,100.0,23,0.0422,8,7,8
84,1089,100.0,25,0.0459,8,8,9
85,1088,99.9,26,0.0478,9,8,9
86,1088,99.9,28,0.0523,9,9,10
87,1087,99.8,30,0.056,9,10,11
88,1086,99.7,32,0.0606,9,11,12
89,1086,99.7,34,0.0652,10,12,12
90,1084,99.5,37,0.0707,11,13,13
91,1083,99.4,40,0.0781,12,14,14
92,1082,99.4,41,0.0808,12,14,15
93,1081,99.3,42,0.0836,13,15,14
94,1081,99.3,42,0.0845,13,14,15
95,1081,99.3,42,0.0845,14,14,14
96,1081,99.3,42,0.0845,13,14,15
97,1081,99.3,42,0.0845,14,14,14
98,1081,99.3,42,0.0845,13,14,15
99,1081,99.3,42,0.0845,14,14,14
100,1081,99.3,42,0.0845,13,14,15
101,1081,99.3,42,0.0845,14,14,14
102,1081,99.3,42,0.0845,13,14,15
103,1081,99.3,42,0.0845,14,14,14
104,1081,99.3,42,0.0845,13,14,15
105,1081,99.3,42,0.0845,14,14,14
106,1081,99.3,42,0.0845,13,14,15
107,1081,99.3,42,0.0845,14,14,14
108,1081,99.3,42,0.0845,13,14,15
109,1081,99.3,41,0.0826,13,14,14
110,1083,99.4,38,0.0771,12,13,13
111,1085,99.6,35,0.0698,11,12,12
112,1086,99.7,32,0.0624,10,11,11
113,1087,99.8,29,0.056,9,10,10
114,1088,99.9,26,0.0496,8,9,9
115,1089,100.0,23,0.0432,7,8,8
116,1089,100.0,20,0.0367,6,7,7
117,1089,100.0,17,0.0312,5,6,6
118,1089,100.0,15,0.0275,5,5,5
119,1089,100.0,15,0.0275,5,5,5
120,1089,100.0,16,0.0294,5,5,6
11,11,13
0,10,10
120,1087,99.8,30,0.0569,10,10,10
