tick,pool_patches,pool_pct,total_cows,pressure,agent0_cows,agent1_cows,agent2_cows
1,1080,99.2,47,0.0863,6,15,26
2,1077,98.9,49,0.0983,6,16,27
3,1075,98.7,51,0.1047,7,16,28
4,1072,98.4,53,0.1102,8,17,28
5,1070,98.3,55,0.1166,8,18,29
6,1068,98.1,56,0.1203,8,18,30
7,1067,98.0,57,0.124,9,19,29
8,1066,97.9,57,0.1249,9,18,30
9,1067,98.0,56,0.124,9,18,29
10,1070,98.3,53,0.1175,8,17,28
11,1073,98.5,50,0.1093,7,16,27
12,1076,98.8,47,0.101,6,15,26
13,1079,99.1,44,0.0927,5,14,25
14,1081,99.3,41,0.0845,4,13,24
15,1083,99.4,38,0.0771,3,12,23
16,1084,99.5,36,0.0716,3,11,22
17,1085,99.6,34,0.067,3,10,21
18,1086,99.7,32,0.0624,3,9,20
19,1087,99.8,30,0.0579,3,8,19
20,1088,99.9,28,0.0533,3,7,18
21,1088,99.9,26,0.0487,3,6,17
22,1089,100.0,24,0.045,3,5,16
23,1089,100.0,22,0.0404,3,4,15
24,1089,100.0,21,0.0386,3,4,14
25,1089,100.0,20,0.0367,3,4,13
26,1089,100.0,20,0.0367,4,4,12
27,1089,100.0,22,0.0404,4,5,13
28,1089,100.0,25,0.0459,5,6,14
29,1088,99.9,27,0.0496,5,7,15
30,1087,99.8,29,0.0542,6,7,16
31,1087,99.8,31,0.0588,7,7,17
32,1086,99.7,34,0.0643,8,8,18
33,1085,99.6,36,0.0689,9,9,18
34,1083,99.4,39,0.0753,10,10,19
35,1081,99.3,42,0.0826,11,11,20
36,1079,99.1,45,0.09,12,12,21
37,1077,98.9,48,0.0973,13,13,22
38,1075,98.7,50,0.1028,14,14,22
39,1074,98.6,51,0.1065,14,14,23
40,1074,98.6,50,0.1056,14,14,22
41,1076,98.8,47,0.1001,13,13,21
42,1079,99.1,44,0.0927,12,12,20
43,1081,99.3,41,0.0845,11,11,19
44,1083,99.4,38,0.0771,10,10,18
45,1085,99.6,35,0.0698,9,9,17
46,1086,99.7,32,0.0624,8,8,16
47,1087,99.8,29,0.056,7,7,15
48,1088,99.9,26,0.0496,6,6,14
49,1089,100.0,23,0.0432,5,5,13
50,1089,100.0,20,0.0367,4,4,12
51,1089,100.0,17,0.0312,3,3,11
52,1089,100.0,16,0.0294,3,3,10
53,1089,100.0,15,0.0275,3,3,9
54,1089,100.0,14,0.0257,3,3,8
55,1089,100.0,13,0.0239,3,3,7
56,1089,100.0,12,0.022,3,3,6
57,1089,100.0,11,0.0202,3,3,5
58,1089,100.0,10,0.0184,3,3,4
59,1089,100.0,10,0.0184,3,3,4
60,1089,100.0,11,0.0202,3,4,4
61,1089,100.0,12,0.022,4,4,4
62,1089,100.0,15,0.0275,5,5,5
63,1089,100.0,17,0.0312,5,6,6
64,1089,100.0,20,0.0367,6,7,7
65,1089,100.0,23,0.0422,7,8,8
66,1089,100.0,25,0.0459,7,9,9
67,1088,99.9,27,0.0496,8,9,10
68,1087,99.8,29,0.0542,8,10,11
69,1087,99.8,31,0.0588,9,10,12
70,1086,99.7,34,0.0643,10,11,13
71,1084,99.5,37,0.0707,11,12,14
72,1083,99.4,72,1066,97.9,55,0.1273,1081,99.3,73,1070,98.3,52,0.1174,1079,99.1,74,1074,98.6,49,0.75,1077,98.9,4875,1077,98.9,46,0.76,1076,98.8,49,0.101,16,15,18
77,1075,98.7,577,1081,99.3,40,0.078,1075,98.7,49,0.1028,16,15,18
79,1077,98.9,46,0.0973,15,14,17
80,1079,99.1,43,0.09,14,13,16
81,1081,99.3,40,0.0826,13,12,15
82,1083,99.4,37,0.0753,12,11,14
83,1085,99.6,34,0.068,11,10,13
84,1086,99.7,31,0.0606,10,9,12
85,1087,99.8,28,0.0542,9,8,11
86,1088,99.9,25,0.0478,8,7,10
87,1089,100.0,22,0.0413,7,6,9
88,1089,100.0,19,0.0349,6,5,8
89,1089,100.0,16,0.0294,5,4,7
90,1089,100.0,13,0.0239,4,3,6
91,1089,100.0,11,0.0202,3,3,5
92,1089,100.0,10,0.0184,3,3,4
93,1089,100.0,10,0.0184,3,3,4
94,1089,100.0,11,0.0202,3,4,4
95,1089,100.0,13,0.0239,4,4,5
96,1089,100.0,16,0.0294,5,5,6
97,1089,100.0,19,0.0349,6,6,7
98,1089,100.0,21,0.0386,7,7,7
99,1099,1087,99.8,30,0.056,10,1100,10100,1086,99.7,33,0.0624,11101,1089101,1085,99.6,35,0.067,1102,1089,102,1084,99.5,37,0.0716103,1089,10103,1083,99.4,40,0.07104,1089,100.104,1081,99.3,43,0.105,1088,99.9,2105,1079,99.1,46106,1088,99.9,25,0106,1076,98.8,49,0.0992,17,17,15
107,1074,98.6,51,0.1056,17,18,16
108,1072,98.4,53,0.1111,18,18,17
109,1071,98.3,54,0.1148,18,19,17
110,1070,98.3,55,0.1175,19,18,18
111,1070,98.3,54,0.1166,18,19,17
112,1072,98.4,51,0.1111,17,18,16
113,1075,98.7,48,0.1038,16,17,15
114,1078,99.0,45,0.0955,15,16,14
115,1080,99.2,42,0.0872,14,15,13
116,1082,99.4,39,0.0799,13,14,12
117,1084,99.5,36,0.0725,12,13,11
118,1086,99.7,33,0.0652,11,12,10
119,1087,99.8,30,0.0579,10,11,9
120,1088,99.9,27,0.0514,9,10,8
